大类	小类	触发问法(用|分隔)	标准回复
快递/物流	签收后多久拆包称重	签收后多久拆包|快递到了多久拆|多久上称|什么时候录入	亲～工作日签收后会陆续拆包：一般12点前签收当天会尽快拆包上称核对重量并录入；12点后通常次日过火，当天也会核对重量并录入。称重后会和您核对确认～
快递/物流	快递丢失/少件	快递丢了怎么办|少了怎么办|邮寄少件怎么办|担心丢件	亲～建议您寄出拿到快递单号后尽快投保（可第三方保险或快递公司保险），打包时尽量在有摄像头下拍照/视频留底，这样一旦出现丢失/少件更好理赔处理～
快递/物流	中通>10g转顺丰到付	中通转顺丰|为什么变顺丰到付|中通邮费退吗	亲～如果您申请发货选择中通，系统超过10g会自动转顺丰到付，同时联系我们会把中通的邮费退回给您哦～
到店/自提/送料	到店取货（上门取货）	上门取货|能上门取吗|能自提货吗|能去店里提货吗	亲～可以的亲～取货请在工作日周一到周五12:00-16:00在小程序提交自提申请，就可以到店（上门）自提货品啦～
到店/自提/送料	到店取料（上门取料）	上门取料|能取料吗|能自提料吗|去店里提料吗	亲～取料需要先联系小黄预约剪料，次日剪好后在工作日周一到周五12:00-18:00到店（上门）提取。周六周日不支持上门取料哦～如必须周日提取建议联系人工预约～
到店/自提/送料	周末有人吗	周六有人吗|周日有人吗|周末能自提吗|周末能邮寄吗	亲～周六周日不支持邮寄或到店自提。需要自提/送料的话，请在工作日周一到周五12:00-18:00办理哦～如必须周日提取，建议联系人工预约～
到店/自提/送料	到店送料/送旧料	能送料吗|什么时候送料方便|能送旧料过去吗|旧金能送店里吗	亲～可以到店送料/送旧料的：工作日周一到周五12:00-18:00可以到店办理；周六周日不支持上门哦～如必须周日提取建议联系人工预约～
到店/自提/送料	外面买的料送过来	外面买的料能送吗|外头买的料能送过来吗	亲～可以选择其他渠道购买板料送到我们地址的哦～但请务必选择正规料商，注意防范交易风险～
转料	不支持外面转料到我们	支持杰我瑞转料吗|支持外面转料到你们家吗|外面能转到你们吗	亲～暂时不支持外面直接转料到我们家账号，但支持对方邮寄过来或者跑腿上门送达也是可以的～
转料	转商家/转板料	能转料给其他人吗|能转商家吗|转桃一|转橘哩|转寒酥|转羊毛	亲～如果要转商家（桃一/橘哩/寒酥/羊毛等），一般需要先把旧料转成板料，转板料按*0.998折算；商家通常只收板料哦～您是要转哪家商家呢？
转料	用户互转料（小程序路径）	怎么转料|能转给别人吗|转料怎么操作	亲～可以用户互相转料：小程序【我的】-【我的旧料】-【转料】，输入对方用户编号+要转的克重+尾号4位数就可以啦～
回收	怎么回收（旧料/板料）	怎么回收|怎么卖料|板料怎么回购|旧料怎么回收	亲～回收在小黄黄：右下角【我的】-【我的旧料】-【卖料】提交。板料按大盘回购价回收；如果是旧料，需要先在系统转成板料再回收，旧料转板料按*0.998折算哦～
回收	18K怎么回收	18k怎么回收|AU750怎么回收|18K卖料怎么算	亲～18K回收：总克重×0.745=可计算的纯金克数，再按当天回购价计算价值。举例：10g 18K→10×0.745=7.45g纯金，再乘回购价即可～
存入/系统	多久入小程序	多久入小程序|什么时候入系统|什么时候能看到克重|录入要多久	亲～工作日内：12点前签收一般当天拆包送去料场，当天入小程序；12点后签收当天拆包次日送料场，次日入小程序哦～
存料退回	用不完的料能退回吗	用不完的料能退吗|存料可以提现吗|剩余料能退回吗	亲～可以的亲～工作日周一到周五联系小黄黄，次日就会存入小程序，然后在工作日周一到周五12:00-18:00申请邮寄/自提就可以啦～
板料来源	外面买板料送达	外面买的板料能送吗|其他渠道买料能送到你们吗	亲～可以选择其他渠道购买板料送到商家地址的哦～请务必选择正规料商，注意防范交易风险～
购料/锁价	小程序锁价买料	怎么买料|小程序买料|锁价怎么买|买料流程	亲～买料可以走小程序锁价：小黄黄【我的】-【我的旧料】-【买料】输入克重上传支付截图即可（0.5g起）。早10:00开放，17:30前当天到，17:30后次日到，周末会顺延到下周一到哦～
购料/现结	现结怎么结算	现结怎么付|能现结吗|团购出货能现结吗|付款方式	亲～现结需要找雅悦结算：结算金价为小黄黄锁价标准基础上+5（例如锁价大盘+5，则现结大盘+10），再加加工费附加。周末双休无法现结哦～
实名认证	实名认证多久审核	实名认证多久|实名要多久|审核多久	亲～小黄黄实名认证一般需要30分钟-2小时左右（有效时间段10:30-17:00），亲耐心等一下哈～
团购	怎么参团/团购流程	怎么参团|怎么团购|团购怎么玩|接龙怎么弄	亲～登录小程序（小黄黄）生成编号即可参团。进团购群先接龙，截团后无法取消（截团前取消请在接龙里标注取消，不要直接删除）。团购工期约15个工作日，料需在出货前存进账户；出货当日需结算工费附加，一周内必须完成扣料，逾期视为跑单（工费不退/货不保留）请谨慎跟团哦～
发货/小程序	怎么申请发货	怎么发货|怎么提交发货|小程序发货|选择物流	亲～在小程序【我的】里，进入【我的商品】选择对应货品提交发货即可。目前可选顺丰和中通快递哦～
售后/维修	售后总则	售后怎么处理|坏了怎么办|质量问题怎么办|售后规则	亲～我们发货前都会质检。签收当日发现变形/掉钻/断裂：可寄回返厂处理，我们承担来回运费，但需要提供开箱视频；签收次日起无法退换，只能走售后维修哦～
售后/维修	签收当日就坏了	收到就坏了|收到就断了|收到就裂开了|收到就凹了|刚收到就坏	亲～如果是签收当日发现变形/掉钻/断裂，可以寄回返厂处理，我们承担来回运费；麻烦您把开箱视频发我（没有开箱视频会影响退换/处理哦）～
售后/维修	链子断了	链子断了|项链断了|手链断了|套链断了	亲～如果签收当天发现断裂：请提供开箱视频，我们会免费处理并承担来回运费；若是佩戴后断裂（素链/手链/套链无质保期），可寄回维修，买家承担来回运费哦～
售后/维修	掉钻规则	掉钻了|钻掉了|莫桑掉了|戒指掉钻	亲～掉钻处理：只能免费补3mm及以下的莫桑钻，其他石头需付费，天然石需保持原石完好。7日内掉钻：买家承担寄回运费，补好后我们中通包邮（保价2000）；7日后掉钻：买家承担来回运费哦～
售后/维修	刚收到就掉钻	刚收到就掉钻|签收当天掉钻|拆包就掉钻	亲～如果是签收当日未佩戴就掉钻/断裂/变形，麻烦您把开箱视频发我，我们可以安排寄回返厂处理，来回运费我们承担（没有开箱视频会影响退换/处理哦）～
售后/维修	半个月掉钻	半个月就掉钻|收到一段时间掉钻|7天后掉钻	亲～如果是收到7天后才掉钻，这种情况需要您承担来回运费；我们会协助返厂补钻。补钻免费范围仍是3mm及以下莫桑钻，其他石头需付费哦～
售后/维修	变形/凹陷口径	变形了|凹了|手镯凹了|戒指凹了|吊坠凹了	亲～5D无氢（空心）以及1g以内小克重相对更易变形/凹陷，这种一般不属于售后范围（掉钻/断裂除外）；厚壁中空手镯/吊坠佩戴请避免大力磕碰，凹陷后也无法售后哦～
售后/维修	改长度规则&运费	长度能改吗|手链能改长吗|项链能改短吗|改长度要多少钱	亲～可以改长/改短的：联系售后说明要改的长度，多的部分寄回，少的需要补料补工费。若出货长度本身没错，改长度的来回运费一般需要您自理哦～
售后/维修	字印没打/补打	没打字印|没有足金999字印|字印漏打|怎么补打	亲～可能是我们漏打了。麻烦您联系小黄黄核对，确认确实没打的话可以安排补打，往返运费我们承担哦～
售后/退换	退货政策	能退货吗|想退货|不满意能退吗	亲～收到货不满意但非产品质量/纯度问题，一般无法退货；若确属质量问题我们会积极协商处理并承担运费。退货运费通常需要自理，工费附加费不退还哦～
售后/退换	换货政策	能换货吗|想换款|能换吗|不喜欢能换吗	亲～非产品质量/纯度问题一般无法换货；如确属质量问题我们会协商处理并承担运费。若仅是不喜欢/想换款，运费需要自理哦～
售后/团购定制	码数不对/改不了	码数对不上|戒指小了|戒指大了|能改码吗	亲～亲这边是团购定制的码数对不上吗？团购货品一般属于定制，通常没办法改码哦～如果是团购接龙时码数填错了，麻烦您联系小黄黄协助核对处理～
售后/维修	18K维修周期	18K维修多久|18k修要多久|18K维修时间	亲～18K维修周期一般3-4周左右。修好后会第一时间上传到系统/小程序里哦～
售后/维修	维修多久会通知	修好了会通知吗|维修好了会提醒吗|为什么没通知	亲～维修货不会一一通知哦～因为量比较多，修好后会直接存入小程序商品里；如果您还没看到，说明还没修好，感谢理解～
售后/维修	维修时长-掉钻/改长度	掉钻维修多久|掉钻要多久|改长度要多久	亲～一般参考：掉钻维修约1周；改长度约2-3周（涉及金重变化会更细致）。具体以实际返厂进度为准哦～
售后/争议	回收重量对不上	回收重量对不上|卖料克重不对|回收少了|重量不一致	亲～麻烦您找人工客服提供回收时的上称照片/视频，以及过程视频，我们这边会尽快核对处理～加急通道也可以拨打：15302797227～
兜底	非知识库问题	不相关|其他问题|你不知道|不是这些范围	不好意思噢亲亲，这个问题不在我回答的范围，请联系人工客服噢~
